Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Year,Month,Day,January,Qurter,Product Name
114,11-02-2023,CUST114,Female,22,Beauty,4,25,100,2023,2,11,February,Q1,Face Wash
115,11-02-2023,CUST115,Male,51,Clothing,3,500,1500,2023,2,11,February,Q1,Jeans
116,12-02-2023,CUST116,Female,23,Clothing,1,30,30,2023,2,12,February,Q1,Hoodie
142,22-02-2023,CUST142,Male,35,Electronics,4,300,1200,2023,2,22,February,Q1,OTG Cable
332,04-05-2023,CUST332,Male,58,Electronics,4,300,1200,2023,5,4,February,Q2,Wired Earphones
119,13-02-2023,CUST119,Female,60,Clothing,3,50,150,2023,2,13,February,Q1,Track Pants
120,13-02-2023,CUST120,Male,60,Beauty,1,50,50,2023,2,13,February,Q1,Makeup Brush
333,04-05-2023,CUST333,Female,54,Electronics,4,300,1200,2023,5,4,February,Q2,Charging Cable
361,11-05-2023,CUST361,Female,34,Electronics,4,300,1200,2023,5,11,February,Q2,Bluetooth Receiver
117,13-02-2023,CUST117,Male,19,Electronics,2,500,1000,2023,2,13,February,Q1,Memory Card
124,17-02-2023,CUST124,Male,33,Clothing,4,500,2000,2023,2,17,February,Q1,Denim Jacket
125,17-02-2023,CUST125,Male,48,Clothing,2,50,100,2023,2,17,February,Q1,Casual Shirt
126,17-02-2023,CUST126,Female,28,Clothing,3,30,90,2023,2,17,February,Q1,Formal Shirt
127,17-02-2023,CUST127,Female,33,Clothing,2,25,50,2023,2,17,February,Q1,Sweater
128,17-02-2023,CUST128,Male,25,Beauty,1,500,500,2023,2,17,February,Q1,Compact Powder
129,17-02-2023,CUST129,Female,21,Beauty,2,300,600,2023,2,17,February,Q1,Compact Powder
130,18-02-2023,CUST130,Female,57,Clothing,1,500,500,2023,2,18,February,Q1,T-Shirt
131,19-02-2023,CUST131,Female,21,Beauty,2,300,600,2023,2,19,February,Q1,Face Wash
153,26-02-2023,CUST153,Male,63,Electronics,2,500,1000,2023,2,26,February,Q1,Charging Cable
352,08-05-2023,CUST352,Male,57,Electronics,2,500,1000,2023,5,8,February,Q2,Bluetooth Receiver
395,21-05-2023,CUST395,Male,50,Electronics,2,500,1000,2023,5,21,February,Q2,Wired Earphones
135,20-02-2023,CUST135,Male,20,Clothing,2,25,50,2023,2,20,February,Q1,Kurti
404,23-05-2023,CUST404,Male,46,Electronics,2,500,1000,2023,5,23,February,Q2,Charging Cable
137,21-02-2023,CUST137,Male,46,Beauty,2,500,1000,2023,2,21,February,Q1,Body Lotion
138,21-02-2023,CUST138,Male,49,Clothing,4,50,200,2023,2,21,February,Q1,Kurti
139,22-02-2023,CUST139,Male,36,Beauty,4,500,2000,2023,2,22,February,Q1,Makeup Brush
418,27-05-2023,CUST418,Female,60,Electronics,2,500,1000,2023,5,27,February,Q2,Mobile Stand
133,20-02-2023,CUST133,Male,20,Electronics,3,300,900,2023,2,20,February,Q1,Charging Cable
154,27-02-2023,CUST154,Male,51,Electronics,3,300,900,2023,2,27,February,Q1,Wired Earphones
143,22-02-2023,CUST143,Female,45,Clothing,1,50,50,2023,2,22,February,Q1,Kurti
144,23-02-2023,CUST144,Female,59,Beauty,3,500,1500,2023,2,23,February,Q1,Hair Oil
145,24-02-2023,CUST145,Female,39,Clothing,3,25,75,2023,2,24,February,Q1,T-Shirt
146,24-02-2023,CUST146,Male,38,Clothing,4,50,200,2023,2,24,February,Q1,Cotton Trousers
334,04-05-2023,CUST334,Male,31,Electronics,3,300,900,2023,5,4,February,Q2,OTG Cable
148,24-02-2023,CUST148,Male,18,Clothing,2,30,60,2023,2,24,February,Q1,Kurti
149,25-02-2023,CUST149,Male,22,Clothing,3,25,75,2023,2,25,February,Q1,Kurti
407,23-05-2023,CUST407,Female,46,Electronics,3,300,900,2023,5,23,February,Q2,Mobile Stand
151,25-02-2023,CUST151,Male,29,Clothing,1,50,50,2023,2,25,February,Q1,Denim Jacket
409,24-05-2023,CUST409,Female,21,Electronics,3,300,900,2023,5,24,February,Q2,Power Adapter
417,27-05-2023,CUST417,Male,43,Electronics,3,300,900,2023,5,27,February,Q2,Keyboard
136,21-02-2023,CUST136,Male,44,Electronics,2,300,600,2023,2,21,February,Q1,Power Adapter
158,28-02-2023,CUST158,Female,44,Electronics,2,300,600,2023,2,28,February,Q1,USB Cable
156,27-02-2023,CUST156,Female,43,Clothing,4,25,100,2023,2,27,February,Q1,Track Pants
348,07-05-2023,CUST348,Female,35,Electronics,2,300,600,2023,5,7,February,Q2,Mobile Stand
380,16-05-2023,CUST380,Male,56,Electronics,2,300,600,2023,5,16,February,Q2,Keyboard
159,28-02-2023,CUST159,Male,26,Clothing,4,50,200,2023,2,28,February,Q1,Track Pants
160,28-02-2023,CUST160,Female,43,Clothing,2,50,100,2023,2,28,February,Q1,Jeans
161,28-02-2023,CUST161,Male,64,Beauty,2,500,1000,2023,2,28,March,Q1,Makeup Brush
162,01-03-2023,CUST162,Male,39,Clothing,2,30,60,2023,3,1,March,Q1,Track Pants
163,01-03-2023,CUST163,Female,64,Clothing,3,50,150,2023,3,1,March,Q1,Formal Shirt
164,01-03-2023,CUST164,Female,47,Beauty,3,500,1500,2023,3,1,March,Q1,Face Cream
165,02-03-2023,CUST165,Female,60,Clothing,4,300,1200,2023,3,2,March,Q1,Kurti
166,03-03-2023,CUST166,Male,34,Clothing,4,500,2000,2023,3,3,March,Q1,Kurti
167,03-03-2023,CUST167,Female,43,Clothing,3,50,150,2023,3,3,March,Q1,Formal Shirt
168,03-03-2023,CUST168,Male,53,Clothing,1,300,300,2023,3,3,March,Q1,Hoodie
169,03-03-2023,CUST169,Male,18,Beauty,3,500,1500,2023,3,3,March,Q1,Hair Oil
170,03-03-2023,CUST170,Female,25,Clothing,2,25,50,2023,3,3,March,Q1,Sweater
171,04-03-2023,CUST171,Female,52,Clothing,3,300,900,2023,3,4,March,Q1,Hoodie
172,05-03-2023,CUST172,Male,32,Beauty,2,25,50,2023,3,5,March,Q1,Face Wash
173,05-03-2023,CUST173,Male,64,Electronics,4,30,120,2023,3,5,March,Q1,Mouse
174,06-03-2023,CUST174,Female,39,Beauty,1,300,300,2023,3,6,March,Q1,Lip Balm
175,06-03-2023,CUST175,Female,31,Electronics,4,25,100,2023,3,6,March,Q1,Keyboard
176,06-03-2023,CUST176,Female,43,Beauty,2,50,100,2023,3,6,March,Q1,Face Cream
177,06-03-2023,CUST177,Male,45,Beauty,2,50,100,2023,3,6,March,Q1,Aloe Vera Gel
178,07-03-2023,CUST178,Male,40,Clothing,2,30,60,2023,3,7,March,Q1,Formal Shirt
179,07-03-2023,CUST179,Male,31,Electronics,1,300,300,2023,3,7,March,Q1,Bluetooth Receiver
180,07-03-2023,CUST180,Male,41,Clothing,3,300,900,2023,3,7,March,Q1,Kurti
181,07-03-2023,CUST181,Male,19,Electronics,4,300,1200,2023,3,7,March,Q1,OTG Cable
182,08-03-2023,CUST182,Male,62,Beauty,4,30,120,2023,3,8,March,Q1,Face Wash
183,09-03-2023,CUST183,Female,43,Beauty,3,300,900,2023,3,9,March,Q1,Face Cream
184,09-03-2023,CUST184,Male,31,Electronics,4,50,200,2023,3,9,March,Q1,Keyboard
185,09-03-2023,CUST185,Male,24,Clothing,1,25,25,2023,3,9,March,Q1,Denim Jacket
186,10-03-2023,CUST186,Male,20,Clothing,4,50,200,2023,3,10,March,Q1,Jeans
187,10-03-2023,CUST187,Female,64,Clothing,2,50,100,2023,3,10,March,Q1,T-Shirt
188,11-03-2023,CUST188,Male,40,Clothing,3,25,75,2023,3,11,March,Q1,Casual Shirt
189,12-03-2023,CUST189,Male,63,Beauty,1,50,50,2023,3,12,March,Q1,Hair Oil
190,12-03-2023,CUST190,Female,60,Beauty,3,30,90,2023,3,12,March,Q1,Lip Balm
191,13-03-2023,CUST191,Male,64,Beauty,1,25,25,2023,3,13,March,Q1,Compact Powder
192,13-03-2023,CUST192,Male,62,Beauty,2,50,100,2023,3,13,March,Q1,Hair Oil
193,13-03-2023,CUST193,Male,35,Beauty,3,500,1500,2023,3,13,March,Q1,Face Cream
194,15-03-2023,CUST194,Male,55,Clothing,4,50,200,2023,3,15,March,Q1,Kurti
195,17-03-2023,CUST195,Male,52,Clothing,1,30,30,2023,3,17,March,Q1,Hoodie
196,17-03-2023,CUST196,Female,32,Clothing,3,300,900,2023,3,17,March,Q1,Denim Jacket
197,17-03-2023,CUST197,Female,42,Clothing,4,50,200,2023,3,17,March,Q1,Kurti
198,18-03-2023,CUST198,Female,54,Beauty,3,300,900,2023,3,18,March,Q1,Face Wash
199,18-03-2023,CUST199,Male,45,Beauty,3,500,1500,2023,3,18,March,Q1,Lip Balm
200,19-03-2023,CUST200,Male,27,Beauty,3,50,150,2023,3,19,March,Q1,Aloe Vera Gel
201,19-03-2023,CUST201,Male,56,Electronics,1,25,25,2023,3,19,March,Q1,OTG Cable
202,20-03-2023,CUST202,Female,34,Clothing,4,300,1200,2023,3,20,March,Q1,Casual Shirt
203,20-03-2023,CUST203,Male,56,Clothing,2,500,1000,2023,3,20,March,Q1,Cotton Trousers
204,20-03-2023,CUST204,Male,39,Beauty,1,25,25,2023,3,20,March,Q1,Face Wash
205,20-03-2023,CUST205,Female,43,Clothing,1,25,25,2023,3,20,March,Q1,Denim Jacket
206,20-03-2023,CUST206,Male,61,Clothing,1,25,25,2023,3,20,March,Q1,Denim Jacket
207,21-03-2023,CUST207,Female,42,Beauty,2,25,50,2023,3,21,March,Q1,Body Lotion
208,21-03-2023,CUST208,Female,34,Electronics,4,50,200,2023,3,21,March,Q1,OTG Cable
209,21-03-2023,CUST209,Female,30,Electronics,4,50,200,2023,3,21,March,Q1,Power Adapter
210,21-03-2023,CUST210,Male,37,Electronics,4,50,200,2023,3,21,March,Q1,Memory Card
211,22-03-2023,CUST211,Male,42,Beauty,3,500,1500,2023,3,22,March,Q1,Compact Powder
212,22-03-2023,CUST212,Male,21,Clothing,3,500,1500,2023,3,22,March,Q1,Cotton Trousers
213,22-03-2023,CUST213,Male,27,Beauty,3,500,1500,2023,3,22,March,Q1,Body Lotion
214,22-03-2023,CUST214,Male,20,Beauty,2,30,60,2023,3,22,March,Q1,Face Cream
215,22-03-2023,CUST215,Male,58,Clothing,3,500,1500,2023,3,22,March,Q1,Jeans
216,23-03-2023,CUST216,Male,62,Electronics,2,50,100,2023,3,23,March,Q1,Keyboard
217,23-03-2023,CUST217,Female,35,Electronics,4,50,200,2023,3,23,March,Q1,Keyboard
218,23-03-2023,CUST218,Male,64,Beauty,3,30,90,2023,3,23,March,Q1,Face Wash
219,23-03-2023,CUST219,Female,53,Electronics,3,30,90,2023,3,23,March,Q1,Keyboard
220,24-03-2023,CUST220,Male,64,Beauty,1,500,500,2023,3,24,March,Q1,Nail Polish
221,24-03-2023,CUST221,Male,39,Beauty,2,300,600,2023,3,24,March,Q1,Lip Balm
222,25-03-2023,CUST222,Male,51,Clothing,4,30,120,2023,3,25,March,Q1,Sweater
223,25-03-2023,CUST223,Female,64,Clothing,1,25,25,2023,3,25,March,Q1,Kurti
224,25-03-2023,CUST224,Female,25,Clothing,1,50,50,2023,3,25,March,Q1,Sweater
225,25-03-2023,CUST225,Female,57,Beauty,4,25,100,2023,3,25,March,Q1,Nail Polish
226,26-03-2023,CUST226,Female,61,Clothing,1,50,50,2023,3,26,March,Q1,Denim Jacket
227,26-03-2023,CUST227,Male,36,Electronics,2,50,100,2023,3,26,March,Q1,Mobile Stand
228,26-03-2023,CUST228,Female,59,Electronics,2,30,60,2023,3,26,March,Q1,USB Cable
229,27-03-2023,CUST229,Male,58,Beauty,3,30,90,2023,3,27,March,Q1,Face Wash
230,27-03-2023,CUST230,Male,54,Beauty,1,25,25,2023,3,27,March,Q1,Compact Powder
231,28-03-2023,CUST231,Female,23,Clothing,3,50,150,2023,3,28,March,Q1,Sweater
232,29-03-2023,CUST232,Female,43,Beauty,1,25,25,2023,3,29,March,Q1,Body Lotion
233,30-03-2023,CUST233,Female,51,Beauty,2,300,600,2023,3,30,March,Q1,Hair Serum
234,31-03-2023,CUST234,Female,62,Electronics,2,25,50,2023,3,31,April,Q1,USB Cable
235,01-04-2023,CUST235,Female,23,Electronics,2,500,1000,2023,4,1,April,Q2,Mouse
236,01-04-2023,CUST236,Female,54,Clothing,1,25,25,2023,4,1,April,Q2,Kurti
237,01-04-2023,CUST237,Female,50,Beauty,2,500,1000,2023,4,1,April,Q2,Aloe Vera Gel
238,02-04-2023,CUST238,Female,39,Beauty,1,500,500,2023,4,2,April,Q2,Nail Polish
239,02-04-2023,CUST239,Male,38,Electronics,3,500,1500,2023,4,2,April,Q2,Charging Cable
240,02-04-2023,CUST240,Female,23,Beauty,1,300,300,2023,4,2,April,Q2,Nail Polish
241,02-04-2023,CUST241,Female,23,Electronics,3,25,75,2023,4,2,April,Q2,Bluetooth Receiver
242,04-04-2023,CUST242,Male,21,Clothing,1,25,25,2023,4,4,April,Q2,Track Pants
243,04-04-2023,CUST243,Female,47,Electronics,3,300,900,2023,4,4,April,Q2,USB Cable
244,04-04-2023,CUST244,Male,28,Beauty,2,50,100,2023,4,4,April,Q2,Face Cream
245,05-04-2023,CUST245,Male,47,Clothing,3,30,90,2023,4,5,April,Q2,Hoodie
246,05-04-2023,CUST246,Female,48,Electronics,2,25,50,2023,4,5,April,Q2,Memory Card
247,06-04-2023,CUST247,Male,41,Electronics,2,30,60,2023,4,6,April,Q2,OTG Cable
248,08-04-2023,CUST248,Male,26,Clothing,3,300,900,2023,4,8,April,Q2,Track Pants
249,08-04-2023,CUST249,Male,20,Clothing,1,50,50,2023,4,8,April,Q2,Formal Shirt
250,08-04-2023,CUST250,Male,48,Electronics,1,50,50,2023,4,8,April,Q2,USB Cable
251,08-04-2023,CUST251,Female,57,Beauty,4,50,200,2023,4,8,April,Q2,Makeup Brush
252,08-04-2023,CUST252,Male,54,Electronics,1,300,300,2023,4,8,April,Q2,Memory Card
253,09-04-2023,CUST253,Female,53,Clothing,4,500,2000,2023,4,9,April,Q2,Denim Jacket
254,09-04-2023,CUST254,Male,41,Electronics,1,500,500,2023,4,9,April,Q2,OTG Cable
255,09-04-2023,CUST255,Male,48,Clothing,1,30,30,2023,4,9,April,Q2,Jeans
256,09-04-2023,CUST256,Male,23,Clothing,2,500,1000,2023,4,9,April,Q2,Track Pants
257,09-04-2023,CUST257,Male,19,Beauty,4,500,2000,2023,4,9,April,Q2,Face Wash
258,09-04-2023,CUST258,Female,37,Clothing,1,50,50,2023,4,9,April,Q2,Denim Jacket
259,10-04-2023,CUST259,Female,45,Clothing,4,50,200,2023,4,10,April,Q2,Casual Shirt
260,10-04-2023,CUST260,Male,28,Beauty,2,30,60,2023,4,10,April,Q2,Makeup Brush
261,11-04-2023,CUST261,Male,21,Clothing,2,25,50,2023,4,11,April,Q2,Casual Shirt
262,12-04-2023,CUST262,Female,32,Beauty,4,30,120,2023,4,12,April,Q2,Face Wash
263,12-04-2023,CUST263,Male,23,Beauty,2,30,60,2023,4,12,April,Q2,Nail Polish
264,12-04-2023,CUST264,Male,47,Clothing,3,300,900,2023,4,12,April,Q2,Sweater
265,12-04-2023,CUST265,Male,55,Clothing,3,300,900,2023,4,12,April,Q2,Track Pants
266,12-04-2023,CUST266,Female,19,Electronics,2,30,60,2023,4,12,April,Q2,Bluetooth Receiver
267,13-04-2023,CUST267,Female,32,Beauty,3,30,90,2023,4,13,April,Q2,Body Lotion
268,13-04-2023,CUST268,Female,28,Electronics,1,30,30,2023,4,13,April,Q2,Mobile Stand
269,13-04-2023,CUST269,Male,25,Clothing,4,500,2000,2023,4,13,April,Q2,Jeans
270,15-04-2023,CUST270,Male,43,Electronics,1,300,300,2023,4,15,April,Q2,Mouse
271,15-04-2023,CUST271,Female,62,Beauty,4,30,120,2023,4,15,April,Q2,Face Cream
272,16-04-2023,CUST272,Female,61,Electronics,2,50,100,2023,4,16,April,Q2,OTG Cable
273,17-04-2023,CUST273,Female,22,Beauty,1,50,50,2023,4,17,April,Q2,Makeup Brush
274,18-04-2023,CUST274,Female,23,Clothing,2,500,1000,2023,4,18,April,Q2,Sweater
275,18-04-2023,CUST275,Male,43,Clothing,2,500,1000,2023,4,18,April,Q2,Track Pants
